17,14,1682,298,0,0,0,492
9,20,621,706,318,335,4,335
1,17,630,704,316,330,11,330
4,9,1674,306,0,0,0,477
19,20,1672,308,0,0,0,494
4,12,1704,276,0,0,0,478
9,16,1684,296,0,0,0,483
3,16,1819,161,0,0,0,479
8,18,1692,288,0,0,0,482
18,17,830,170,359,621,5,359
10,6,1674,306,0,0,0,484
16,10,1670,310,0,0,0,491
12,2,1674,306,0,0,0,486
15,12,1678,302,0,0,0,490
4,15,1682,298,0,0,0,478
1,14,831,175,355,619,5,355
9,10,1674,306,0,0,0,483
7,2,528,840,257,355,9,355
4,5,1676,301,0,0,0,477
2,13,654,318,336,672,3,336
8,1,1682,298,0,0,0,482
12,11,830,171,358,621,5,358
14,11,652,314,338,676,3,338
14,5,1690,290,0,0,0,489
5,2,1676,304,0,0,0,478
2,7,1584,396,0,0,0,473
10,6,653,316,337,674,3,337
6,19,1706,274,0,0,0,480
4,15,1829,151,0,0,0,481
4,14,1712,268,0,0,0,478
11,6,860,162,479,479,2,479
5,3,1937,43,0,0,0,490
14,12,1678,302,0,0,0,489
15,20,1813,167,0,0,0,493
17,10,654,318,336,672,3,336
16,12,1730,250,0,0,0,492
10,6,655,320,335,670,3,335
13,5,1674,306,0,0,0,487
9,6,410,385,395,790,3,0
14,19,877,137,483,483,2,483
2,17,1686,294,0,0,0,475
8,16,874,154,476,476,2,476
10,16,1726,254,0,0,0,485
4,3,983,51,473,473,2,473
5,12,616,714,315,335,4,335
2,3,1611,369,0,0,7,464
10,12,1674,306,0,0,0,484
7,12,1851,129,0,0,0,484
11,18,803,773,0,404,1,404
11,14,588,752,299,341,4,341
16,8,1579,401,0,0,7,479
16,20,855,159,483,483,2,483
5,19,1672,308,0,0,0,479
18,9,642,860,0,478,1,478
2,1,1858,122,0,0,0,480
7,17,1827,153,0,0,0,484
13,8,632,864,0,484,1,484
17,10,653,316,337,674,3,337
5,10,449,373,386,772,3,0
20,4,1748,232,0,0,0,497
20,4,1858,122,0,0,0,499
13,6,653,316,337,674,3,337
1,15,1664,316,0,0,0,474
19,16,862,144,487,487,2,487
6,19,1818,162,0,0,0,483
20,18,562,785,283,350,4,350
1,14,465,899,242,374,4,0
1,4,1674,306,0,0,0,474
3,5,1678,302,0,0,0,476
16,12,1581,399,0,0,0,489
13,15,642,867,0,471,1,471
14,4,494,1009,0,477,1,0
1,3,879,165,468,468,2,468
12,13,1601,379,0,0,0,485
